AUN,School District,County,"2022-23
Average Daily Membership (ADM)","2022-23
Weighted Average Daily Membership","2022-23
Adjusted
ADM","2022-23
ADM for
PDE-363",ADM Pre-Kindergarten HT,ADM Pre-Kindergarten FT,ADM Kindergarten HT4,ADM Kindergarten FT4,ADM Kindergarten HT5,ADM Kindergarten FT5,ADM Elementary,ADM Secondary,WADM Pre-Kindergarten HT,WADM Pre-Kindergarten FT,WADM Kindergarten HT4,WADM Kindergarten FT4,WADM Kindergarten HT5,WADM Kindergarten FT5,WADM Elementary,WADM Secondary,Adjustment Factor,
112011103,Bermudian Springs SD,Adams,"1,872.119","2,201.041","1,872.119","1,878.039",0.000,0.000,0.000,0.000,0.000,130.138,828.308,913.673,0.000,0.000,0.000,0.000,0.000,130.138,828.308,"1,242.595",1.00000,
112011603,Conewago Valley SD,Adams,"4,018.150","4,724.755","4,017.789","4,053.648",0.000,0.000,0.000,0.000,0.722,286.010,"1,767.621","1,963.797",0.000,0.000,0.000,0.000,0.361,286.010,"1,767.621","2,670.763",1.00000,
112013054,Fairfield Area SD,Adams,"1,023.525","1,201.147","1,023.378","1,038.934",0.000,0.000,0.000,0.000,0.294,69.397,460.030,493.804,0.000,0.000,0.000,0.000,0.147,69.397,460.030,671.573,1.00000,
112013753,Gettysburg Area SD,Adams,"3,155.350","3,739.057","3,155.281","3,170.237",0.000,0.000,0.000,0.000,0.138,186.748,"1,346.864","1,621.600",0.000,0.000,0.000,0.000,0.069,186.748,"1,346.864","2,205.376",1.00000,
112015203,Littlestown Area SD,Adams,"1,952.591","2,284.907","1,952.491","1,966.515",0.000,0.000,0.000,0.000,0.200,126.110,902.901,923.380,0.000,0.000,0.000,0.000,0.100,126.110,902.901,"1,255.796",1.00000,
112018523,Upper Adams SD,Adams,"1,697.278","1,990.959","1,697.211","1,718.848",0.000,0.000,0.000,0.000,0.133,115.225,765.952,815.968,0.000,0.000,0.000,0.000,0.066,115.225,765.952,"1,109.716",1.00000,
103020603,Allegheny Valley SD,Allegheny,909.975,"1,056.532",905.442,910.488,9.065,0.000,0.000,0.000,0.000,59.119,422.094,419.697,4.532,0.000,0.000,0.000,0.000,59.119,422.094,570.787,1.00000,
103020753,Avonworth SD,Allegheny,"1,933.444","2,245.464","1,933.422","1,935.444",0.000,0.000,0.000,0.000,0.044,151.054,915.562,866.784,0.000,0.000,0.000,0.000,0.022,151.054,915.562,"1,178.826",1.00000,
103021102,Baldwin-Whitehall SD,Allegheny,"4,657.346","5,428.962","4,657.299","4,657.346",0.000,0.000,0.000,0.000,0.094,352.273,"2,161.469","2,143.510",0.000,0.000,0.000,0.000,0.047,352.273,"2,161.469","2,915.173",1.00000,
103021252,Bethel Park SD,Allegheny,"4,078.934","4,647.818","3,931.253","4,081.648",0.000,0.000,0.000,0.000,295.361,2.729,"1,790.383","1,990.461",0.000,0.000,0.000,0.000,147.680,2.729,"1,790.383","2,707.026",1.00000,
103021453,Brentwood Borough SD,Allegheny,"1,221.852","1,428.664","1,221.555","1,221.852",0.000,0.000,0.000,0.000,0.594,98.026,547.927,575.305,0.000,0.000,0.000,0.000,0.297,98.026,547.927,782.414,1.00000,
103021603,Carlynton SD,Allegheny,"1,341.347","1,576.724","1,341.347","1,346.924",0.000,0.000,0.000,0.000,0.000,109.035,578.487,653.825,0.000,0.000,0.000,0.000,0.000,109.035,578.487,889.202,1.00000,
103021752,Chartiers Valley SD,Allegheny,"3,518.062","4,083.288","3,518.018","3,557.682",0.000,0.000,0.000,0.000,0.088,306.799,"1,640.978","1,570.197",0.000,0.000,0.000,0.000,0.044,306.799,"1,640.978","2,135.467",1.00000,
103021903,Clairton City SD,Allegheny,996.628,"1,154.831",996.628,996.628,0.000,0.000,0.000,0.000,0.000,79.444,477.730,439.454,0.000,0.000,0.000,0.000,0.000,79.444,477.730,597.657,1.00000,
103022103,Cornell SD,Allegheny,576.782,675.500,576.782,576.782,0.000,0.000,0.000,0.000,0.000,38.004,264.561,274.217,0.000,0.000,0.000,0.000,0.000,38.004,264.561,372.935,1.00000,
103022253,Deer Lakes SD,Allegheny,"1,796.291","2,127.173","1,795.991","1,805.545",0.000,0.000,0.000,0.000,0.600,130.918,744.821,919.952,0.000,0.000,0.000,0.000,0.300,130.918,744.821,"1,251.134",1.00000,
103022503,Duquesne City SD,Allegheny,918.141,"1,069.645",918.141,918.141,0.000,0.000,0.000,0.000,0.000,64.904,432.391,420.846,0.000,0.000,0.000,0.000,0.000,64.904,432.391,572.350,1.00000,
103022803,East Allegheny SD,Allegheny,"1,613.387","1,899.063","1,613.387","1,630.307",0.000,0.000,0.000,0.000,0.000,123.664,696.178,793.545,0.000,0.000,0.000,0.000,0.000,123.664,696.178,"1,079.221",1.00000,
103023153,Elizabeth Forward SD,Allegheny,"2,381.259","2,800.050","2,381.259","2,388.392",0.000,0.000,0.000,0.000,0.000,181.485,"1,036.464","1,163.310",0.000,0.000,0.000,0.000,0.000,181.485,"1,036.464","1,582.101",1.00000,
103023912,Fox Chapel Area SD,Allegheny,"4,210.810","4,919.584","4,210.768","4,214.830",0.000,0.000,0.000,0.000,0.083,305.274,"1,936.519","1,968.934",0.000,0.000,0.000,0.000,0.041,305.274,"1,936.519","2,677.750",1.00000,
103024102,Gateway SD,Allegheny,"3,614.916","4,259.905","3,614.891","3,631.805",0.000,0.000,0.000,0.000,0.050,239.208,"1,583.950","1,791.708",0.000,0.000,0.000,0.000,0.025,239.208,"1,583.950","2,436.722",1.00000,
103024603,Hampton Township SD,Allegheny,"2,680.519","3,090.892","2,609.924","2,688.138",0.000,0.000,0.000,0.000,141.190,1.000,"1,202.306","1,336.023",0.000,0.000,0.000,0.000,70.595,1.000,"1,202.306","1,816.991",1.00000,
103024753,Highlands SD,Allegheny,"2,237.631","2,653.533","2,237.631","2,258.812",0.000,0.000,0.000,0.000,0.000,143.294,939.052,"1,155.285",0.000,0.000,0.000,0.000,0.000,143.294,939.052,"1,571.187",1.00000,
