AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Total State Revenue 7000,Revenue from Federal Sources 8000,Total Other Revenue 9000
112011103,Bermudian Springs SD,Adams,35185329.99,18610956.22,840288.62,19451244.84,14163501.22,1570583.93,
112011603,Conewago Valley SD,Adams,73929130.86,43804578.71,2186686.32,45991265.03,25047521.56,2890344.27,
112013054,Fairfield Area SD,Adams,21694714.75,13019411.35,694405.48,13713816.83,7365672.11,615225.81,
112013753,Gettysburg Area SD,Adams,72483143.7,44949803.83,4203729.17,49153533,20996908.33,2327646.36,5056.01
112015203,Littlestown Area SD,Adams,41105736.48,22470077.49,1359650.99,23829728.48,14599104.02,1798987.29,877916.69
112018523,Upper Adams SD,Adams,35618979.69,16800239.56,1535347.93,18335587.49,14957801.61,2325590.59,
103020603,Allegheny Valley SD,Allegheny,26410783,17343104,830816,18173920,7408127,828736,
103020753,Avonworth SD,Allegheny,38156411.84,28334400.07,1114922.23,29449322.3,8498732.42,208357.12,
103021102,Baldwin-Whitehall SD,Allegheny,83493398.7,49278239.49,2808678.02,52086917.51,28830637.97,2575843.22,
103021252,Bethel Park SD,Allegheny,98906687.91,66549864.04,3336143.62,69886007.66,26709104.27,1038958.75,1272617.23
103021453,Brentwood Borough SD,Allegheny,27531900.64,15309749.3,496983.6,15806732.9,10205905.45,1519262.29,
103021603,Carlynton SD,Allegheny,36301302.9,21456627.08,1210021.43,22666648.51,10338965.29,3295689.1,
103021752,Chartiers Valley SD,Allegheny,77595025.69,53703308.4,2517614.25,56220922.65,18564680.37,2809422.67,
103021903,Clairton City SD,Allegheny,,,,,,,
103022103,Cornell SD,Allegheny,17417459,10509654,509228,11018882,5283136,998684,116757
103022253,Deer Lakes SD,Allegheny,41229933.99,22904363.18,1379511.32,24283874.5,15099015.99,1160934.1,686109.4
103022503,Duquesne City SD,Allegheny,23380426,1763940,249859,2013799,18148336,3193029,25262
103022803,East Allegheny SD,Allegheny,41037918,15997125.99,1091965.01,17089091,21712669,2236158,
103023153,Elizabeth Forward SD,Allegheny,52919083.64,24358225.51,1890487.31,26248712.82,22052903.03,2414505.58,2202962.21
103023912,Fox Chapel Area SD,Allegheny,112932150.5,84539496.28,3117503.68,87656999.96,22978822.11,1763579.01,532749.44
103024102,Gateway SD,Allegheny,84944130.57,58200249.31,2381969.5,60582218.81,22554064.09,1807847.67,
103024603,Hampton Township SD,Allegheny,60032888.04,41750735,1179500.24,42930235.24,15982736,705639.4,414277.4
103024753,Highlands SD,Allegheny,50313629,21419081,1767456,23186537,24664415,1939897,522780
103025002,Keystone Oaks SD,Allegheny,49425157,32644801,1541626,34186427,13253653,1808089,176988
103026002,McKeesport Area SD,Allegheny,87167518,18163903,3025189,21189092,54762880,11215546,
103026303,Montour SD,Allegheny,81439269.05,59058769.98,2825945.37,61884715.35,16282387.43,3265221.27,6945
103026343,Moon Area SD,Allegheny,90239483.77,64681241.57,2567591.43,67248833,21216367.54,1593106.73,181176.5
103026402,Mt Lebanon SD,Allegheny,111281966.2,81159697.04,2930650.47,84090347.51,26741687.55,449931.15,
103026852,North Allegheny SD,Allegheny,196582856.2,146204849.7,5230520.16,151435369.9,41851999.66,1974500.96,1320985.75
103026902,North Hills SD,Allegheny,92749506.69,65953996.55,2669352.17,68623348.72,22991149.18,1135008.79,
103026873,Northgate SD,Allegheny,28832247.55,15226903.18,951743.66,16178646.84,9841011.95,2812588.76,
103027352,Penn Hills SD,Allegheny,103300096.2,52834387.41,2166324.83,55000712.24,38905835.12,9212296.72,181252.12
103021003,Pine-Richland SD,Allegheny,104953207,78232271,2980266,81212537,20602743,1462739,1675188
102027451,Pittsburgh SD,Allegheny,801542446.2,379014324.3,17219460.71,396233785,324237552,80609338.13,461771.16
103027503,Plum Borough SD,Allegheny,71761654.11,39117118.92,2116822.27,41233941.19,28767629.83,1756582.19,3500.9
103027753,Quaker Valley SD,Allegheny,57773525.16,46122736.84,1358067.47,47480804.31,9231012.71,1061708.14,
103028203,Riverview SD,Allegheny,27587368.27,18462460.85,777204.87,19239665.72,7466041.31,880861.24,800
103028302,Shaler Area SD,Allegheny,92129004.81,55933189.63,2741007.9,58674197.53,30753387.3,2701419.98,
103028653,South Allegheny SD,Allegheny,31325433.58,8861411.4,1051906.82,9913318.22,19009918.95,2402196.41,
103028703,South Fayette Township SD,Allegheny,70292823.49,48487300.71,2293976.97,50781277.68,16236542.48,1739384.05,1535619.28
103028753,South Park SD,Allegheny,40671353.75,23589669.93,1035676.34,24625346.27,14851686.99,1194320.49,
103028833,Steel Valley SD,Allegheny,43995892.5,20368290.77,1407006.74,21775297.51,19135290.73,2623102.56,462201.7
103028853,Sto-Rox SD,Allegheny,39826413.36,9413998.76,586783.54,10000782.3,23658579.92,6159038.14,8013
103029203,Upper St. Clair SD,Allegheny,100241033.2,74353203.65,2754238.56,77107442.21,20948931.18,736472.38,1448187.42
103029403,West Allegheny SD,Allegheny,78140169.56,57623912.4,1757535.16,59381447.56,18208360.83,519330.22,31030.95
103029553,West Jefferson Hills SD,Allegheny,62831318.57,41521976.42,2004585,43526561.42,18253437.58,1051319.57,
103029603,West Mifflin Area SD,Allegheny,64447305.4,30980839.81,4778437.84,35759277.65,23846235.56,4782161.64,59630.55
103029803,Wilkinsburg Borough SD,Allegheny,37963274.04,12098772.82,1093939.83,13192712.65,19283594.58,5486966.81,
103029902,Woodland Hills SD,Allegheny,116250693.5,58475517.35,3065904.92,61541422.27,40776572.44,9459567.79,4473131.03
128030603,Apollo-Ridge SD,Armstrong,27454974.6,8418169.19,714088.53,9132257.72,16348685.85,1786901.64,187129.39
128030852,Armstrong SD,Armstrong,108013641,37343595,2579944,39923539,61906840,6162647,20615
128033053,Freeport Area SD,Armstrong,37161945.04,20089621.83,937589.04,21027210.87,14727379.66,1336791.31,70563.2
128034503,Leechburg Area SD,Armstrong,15442931.45,6309420.12,521776,6831196.12,8143953.07,467782.26,
127040503,Aliquippa SD,Beaver,31794197.91,7268526.86,1890796.27,9159323.13,18842003.78,3792871,
127040703,Ambridge Area SD,Beaver,54493525.13,25719514.76,1783620.01,27503134.77,22700371.43,3986111.68,303907.25
127041203,Beaver Area SD,Beaver,39965684.56,23529965.89,1422734.05,24952699.94,13204733.44,1602921.61,205329.57
127041503,Big Beaver Falls Area SD,Beaver,36612216.57,8183897.12,785799.6,8969696.72,23063151.41,4579368.44,
127041603,Blackhawk SD,Beaver,41287766.6,20540589.16,882849.59,21423438.75,18754588.15,988091.25,121648.45
127042003,Central Valley SD,Beaver,42989441.46,22497808.67,814109.31,23311917.98,16821773.66,2855749.82,
127042853,Freedom Area SD,Beaver,27842683.6,10721633.72,792880.61,11514514.33,14646273.7,1681895.57,
127044103,Hopewell Area SD,Beaver,46548374.76,22797767.34,1063973.09,23861740.43,20983549.76,1241544.87,461539.7
127045303,Midland Borough SD,Beaver,7358750.04,879300.39,353104.88,1232405.27,5009109.78,1117234.99,
127045653,New Brighton Area SD,Beaver,32579175.16,7560721.69,823268.07,8383989.76,19290750.08,4904435.32,
127045853,Riverside Beaver County SD,Beaver,27050869.89,10412829.35,572596.51,10985425.86,14662326.32,1156538.82,246578.89
127046903,Rochester Area SD,Beaver,20720181.04,5589780.89,360320.27,5950101.16,12544348.81,2225731.07,
127047404,South Side Area SD,Beaver,25903086.7,9409571.52,491937.15,9901508.67,15251573.32,750004.71,
127049303,Western Beaver County SD,Beaver,15664566.33,4842447.35,246567.63,5089014.98,10005931.99,565777.95,3841.41
108051003,Bedford Area SD,Bedford,36078436.25,15505942.7,1573892.24,17079834.94,15716533.66,3282067.65,
108051503,Chestnut Ridge SD,Bedford,24597565.52,6755074.4,1193703.22,7948777.62,15518549.1,1130238.8,
108053003,Everett Area SD,Bedford,25189600.62,8890396.5,1026546.48,9916942.98,12846707.99,2389341.65,36608
108056004,Northern Bedford County SD,Bedford,17583081.83,4282286.41,671731.84,4954018.25,9973759.11,1855304.47,800000
108058003,Tussey Mountain SD,Bedford,20870848.48,5537419.95,732398.43,6269818.38,13405492.57,1111433.53,84104
114060503,Antietam SD,Berks,25273794.53,12226072.29,869935.03,13096007.32,9912596.82,2247129.39,18061
