state,LEAID,tot_pop,young_pop,young_pov_pop
AL,00190,"33,897","6,611",622
AL,00005,"22,527","4,668","1,042"
AL,00030,"16,964","2,772",765
AL,00060,"8,840","1,485",436
AL,00090,"21,477","2,977","1,054"
AL,00100,"8,515","1,510",256
AL,00120,"26,397","4,149",545
AL,00180,"5,812",962,263
AL,00210,"77,497","10,732","1,173"
AL,00240,"59,095","10,444","1,607"
AL,00270,"223,776","36,648","5,478"
AL,00300,"12,214","1,412",488
AL,00330,"25,754","4,306","1,852"
AL,00360,"22,477","3,342",940
AL,00390,"198,624","27,013","11,105"
AL,00420,"52,114","9,099","1,420"
AL,00012,"10,161","1,950",467
AL,00450,"5,268",860,249
AL,00480,"10,320","1,622",690
AL,00510,"18,884","3,189","1,073"
AL,00540,"54,643","9,364","1,963"
AL,00600,"27,617","4,127","1,161"
AL,00630,"24,996","3,555",882
AL,00188,"6,430","1,150",379
AL,00660,"45,274","8,016","1,621"
AL,00690,"12,533","1,831",587
AL,00720,"17,688","2,779",808
AL,00750,"14,190","2,172",576
AL,00780,"14,859","2,552",525
AL,00810,"20,870","3,669",711
AL,00840,"22,589","3,351",677
AL,00870,"11,328","1,668",555
AL,00900,"10,450","1,257",362
AL,00930,"21,921","3,540",807
AL,00960,"13,083","2,287",621
AL,00990,"17,484","2,895",372
AL,01020,"71,982","12,000","2,017"
AL,01050,"15,553","2,598",544
AL,01080,"10,703","1,640",380
AL,01110,"20,042","3,395","1,292"
AL,01140,"56,893","10,335","2,447"
AL,01170,"58,064","9,722","1,732"
AL,01200,"7,041","1,279",435
AL,01230,"71,233","11,594","3,258"
AL,01260,"4,831",717,229
AL,01290,"81,665","13,511","2,128"
AL,01320,"29,084","5,443","1,053"
AL,01350,"31,431","5,263","1,568"
AL,01380,"62,384","9,967","1,750"
AL,01410,"12,750","2,411",788
AL,01440,"9,898","1,709",678
AL,01470,"14,883","2,356",590
AL,01530,"40,390","5,376","1,475"
AL,01560,"14,920","2,820",657
AL,00001,"4,482",846,34
AL,01590,"21,192","3,665",837
AL,01620,"33,859","5,269","1,785"
AL,01640,"5,981",917,266
AL,01660,"20,720","3,479",913
AL,01680,"7,629","1,214",595
AL,00202,"15,518","1,874",284
AL,01690,"8,607","1,351",275
AL,01710,"14,754","2,546",807
AL,01720,"8,338","1,366",352
AL,01730,"14,712","2,749",265
AL,01740,"17,456","2,709",621
AL,01760,"26,144","4,425",371
AL,00007,"91,562","15,886","1,265"
AL,01770,"37,753","6,662","1,538"
AL,01800,"218,862","30,996","5,106"
AL,01830,"37,140","5,810","1,510"
AL,01860,"14,327","1,685",364
AL,01890,"14,461","2,401",541
AL,01920,"238,629","41,021","9,110"
AL,01950,"13,689","2,192",498
AL,01980,"6,924","1,165",493
AL,02010,"53,653","8,449","1,450"
AL,02040,"33,090","5,470","1,179"
AL,02070,"61,299","10,653","1,987"
AL,00011,"12,261","2,042",434
AL,02100,"64,873","10,153","1,347"
AL,02130,"4,037",626,235
AL,02160,"9,965","1,606",690
AL,02190,"18,895","2,417",988
AL,00008,"58,216","12,485",613
AL,02220,"134,320","23,675","2,342"
AL,02250,"7,918","1,274",397
AL,02310,"23,414","3,669",883
AL,00006,"49,555","8,887","1,955"
AL,00003,"2,110",282,20
AL,02350,"5,158","1,056",455
AL,02370,"383,819","64,980","15,009"
AL,02400,"19,648","3,113","1,010"
AL,02430,"215,948","36,398","11,826"
AL,02480,"50,952","8,777","1,172"
AL,02490,"22,331","5,143",192
AL,02520,"16,345","2,865",407
AL,02550,"6,927","1,079",179
AL,02580,"31,530","5,012","1,260"
AL,02610,"6,763","1,161",367
AL,02635,"23,754","4,276",857
AL,02640,"16,468","2,702",686
AL,00194,"24,587","4,066",404
AL,02650,"28,785","4,583",863
AL,02670,"8,355","1,256",603
AL,02700,"38,681","7,095","2,288"
AL,02730,"18,801","2,655",760
AL,02760,"6,383","1,066",329
AL,02790,"15,274","2,498",752
AL,00195,"9,376","2,116",186
AL,02820,"16,673","2,556",683
AL,02850,"5,316",911,293
AL,02880,"26,933","4,519","1,177"
AL,02910,"10,821","2,117",542
AL,00185,"16,103","3,014",367
AL,00189,"6,721","1,153",109
AL,02940,"15,633","2,373",572
AL,02970,"17,577","3,235","1,551"
AL,03000,"9,447","1,441",452
AL,03030,"139,011","24,730","2,170"
AL,03062,"60,235","10,413","1,547"
AL,03090,"12,164","1,700",797
AL,03120,"12,482","2,008",515
AL,03150,"15,740","2,483",846
AL,03180,"48,934","7,359","1,765"
AL,03210,"22,429","3,271",796
AL,03240,"9,269","1,515",370
AL,03270,"6,061","1,223",561
AL,03300,"5,072",810,204
AL,03330,"17,717","2,118",558
AL,00013,"25,769","5,466",273
